sample_name,sample_cohort,Species_labelled,Location,Stage,sample_timing,kraken_bacteria,kraken_fungi,kraken_unclassified,Number_reads,Mh_genome_mapping,coverage_Mh_scaffold_1,meandepth_Mh_scaffold_1,data_concerns
Mossburn_23,2,M. hyperodae,Mossburn,Pupa,contemporary,1.66,0.16,89.49,41840496,95.26,98.3912,41.5801,
Mossburn_24,2,M. hyperodae,Mossburn,Pupa,contemporary,1.55,0.16,90.07,12861946,95.78,96.275,12.7057,
Mossburn_25,2,M. hyperodae,Mossburn,Pupa,contemporary,1.71,0.17,89.21,24795265,95.63,98.2012,24.6738,
Mossburn_27,2,M. hyperodae,Mossburn,Pupa,contemporary,1.67,0.17,89.02,39264313,95.87,98.3633,39.2533,
Mossburn_28,2,M. hyperodae,Mossburn,Pupa,contemporary,1.76,0.16,91.9,29874452,95.86,98.2411,24.3796,
Mossburn_29,2,M. hyperodae,Mossburn,Pupa,contemporary,1.54,0.16,90.31,22415310,95.74,98.1856,21.4773,
Mossburn_3,2,M. hyperodae,Mossburn,Pupa,contemporary,1.54,0.15,88.19,23203341,94.86,98.0529,23.3138,
Mossburn_30,2,M. hyperodae,Mossburn,Pupa,contemporary,1.53,0.15,89.2,19841844,95.33,98.3551,20.1623,
Mossburn_4,2,M. hyperodae,Mossburn,Pupa,contemporary,1.25,0.14,91.92,14510152,95.63,94.9592,13.3821,
Mossburn_5,2,M. hyperodae,Mossburn,Pupa,contemporary,1.37,0.15,91.74,29811697,95.16,97.7782,28.1237,
Mossburn_6,2,M. hyperodae,Mossburn,Pupa,contemporary,0.91,0.14,91.25,24493539,93.58,94.408,23.1483,
Mossburn_7,2,M. hyperodae,Mossburn,Pupa,contemporary,1.8,0.19,89.28,21865498,82.44,83.825,16.605,
Mossburn_8,2,M. hyperodae,Mossburn,Pupa,contemporary,1.53,0.18,87.76,24846934,94.84,97.1007,22.8521,
Mossburn_9,2,M. hyperodae,Mossburn,Pupa,contemporary,1.45,0.15,91.14,25289077,95.62,97.9176,24.7854,
Porto_Alegre_Brazil_1997_1,2,M. hyperodae,PortoAlegre,need to check,historic,1.4,0.15,92.95,20080714,94.97,94.3167,17.2676,
Porto_Alegre_Brazil_1997_2,2,M. hyperodae,PortoAlegre,need to check,historic,1.78,0.15,88.76,26105567,95.6,98.2302,27.749,
Porto_Alegre_Brazil_1997_3,2,M. hyperodae,PortoAlegre,need to check,historic,1.88,0.16,89.87,20021900,96.23,97.9481,19.5833,
Rio_Negro_Uruguay_1996_1,2,M. hyperodae,RioNegro,need to check,historic,2.24,0.16,83.71,22720242,92.45,98.3366,22.419,
Rio_Negro_Uruguay_1996_2,2,M. hyperodae,RioNegro,need to check,historic,2.21,0.16,86.63,19252161,93.82,98.092,17.3023,
Rio_Negro_Uruguay_1997_1,2,M. hyperodae,RioNegro,need to check,historic,1.36,0.12,79.38,33887302,91.22,97.1612,37.0218,
Rio_Negro_Uruguay_1997_2,2,M. hyperodae,RioNegro,need to check,historic,2,0.15,83.42,37606885,91.58,98.3986,38.4647,
Ruakaka_11,2,M. hyperodae,Ruakaka,Pupa,contemporary,1.76,0.15,89.03,21923852,96,98.273,25.2855,
Ruakaka_12,2,M. hyperodae,Ruakaka,Pupa,contemporary,1.46,0.15,90.75,26162147,95.65,98.0045,25.9284,
Ruakaka_14,2,M. hyperodae,Ruakaka,Pupa,contemporary,1.7,0.17,93.37,13296710,94.45,91.4628,7.98743,
Ruakura_1,2,M. hyperodae,Ruakura,Pupa,contemporary,2.6,0.19,89.34,15174101,96.14,97.7911,13.1758,
Ruakura_10,2,M. hyperodae,Ruakura,Pupa,contemporary,1.49,0.15,88.26,14377592,94.34,97.5829,14.2898,
Ruakura_2,2,M. hyperodae,Ruakura,Pupa,contemporary,1.75,0.18,87.35,16033310,94.35,97.9758,16.5567,
Ruakura_3,2,M. hyperodae,Ruakura,Pupa,contemporary,1.69,0.16,90.68,26048752,94.72,97.9332,24.838,
Ruakura_4,2,M. hyperodae,Ruakura,Pupa,contemporary,2.81,0.18,88.06,18239157,91.9,97.5408,17.3831,
Ruakura_5,2,M. hyperodae,Ruakura,Pupa,contemporary,3.93,0.38,85.7,15975510,90.45,97.7817,15.899,
Ruakura_6,2,M. hyperodae,Ruakura,Pupa,contemporary,2.71,0.22,89.64,19568786,95.21,98.0641,16.6347,
Ruakura_7,2,M. hyperodae,Ruakura,Pupa,contemporary,2.55,0.18,89.86,14410743,96.5,96.0931,10.9679,
Ruakura_8,2,M. hyperodae,Ruakura,Pupa,contemporary,1.42,0.18,90.2,29154121,95.38,97.6149,27.0363,
Ruakura_9,2,M. hyperodae,Ruakura,Pupa,contemporary,2.09,0.19,90.7,19834209,96.87,97.7891,18.0233,
South_Chile_Chile_1997_1,2,M. hyperodae,SouthChile,need to check,historic,2.12,0.17,87.41,30994079,95.9,98.392,32.3749,
South_Chile_Chile_1997_2,2,M. hyperodae,SouthChile,need to check,historic,1.87,0.15,88.08,24513399,95.78,98.3208,25.1176,
South_Chile_Chile_1997_3,2,M. hyperodae,SouthChile,need to check,historic,2.15,0.17,89.24,26344559,96.19,98.3729,26.0273,
South_Chile_Chile_1997_4,2,M. hyperodae,SouthChile,need to check,historic,1.72,0.18,90.47,22656133,95.56,97.9477,22.9223,
