sample_num,sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
22,B8_S20,52668,61495,85633,87836,89624,82040,73289,62768,52303,42705,33792,26638,21195,16423,12724,9755,7753,6222,4990,4033,3325,2802,2448,2050,1757,1563,1436,1319,1226,1016,930,923,803,802,758,704,658,617,634,603,585,564,535,495,502,447,435,450,421,426,372,366,361,367,373,325,354,342,310,332,318,323,304,301,281,260,275,268,276,263,291,256,273,252,204,237,256,218,211,219,162,228,187,201,202,184,172,181,180,184,174,156,152,150,162,149,132,136,118,120,7434
23,B9_S21,22658,32506,52061,60933,69987,71903,71912,68237,63331,56286,49518,41667,35445,28903,23559,18892,15294,11983,9471,7652,6325,5030,4248,3423,2929,2479,2111,1916,1715,1515,1275,1213,1156,1066,1057,905,907,783,755,730,704,669,618,594,568,570,509,494,505,471,466,482,452,407,383,423,384,377,355,343,347,337,308,322,306,276,289,302,292,312,255,297,282,268,262,276,227,228,234,229,223,210,224,200,206,226,207,217,205,196,178,200,193,172,166,204,185,163,154,152,11632
24,C1_S25,18657,18597,29833,38126,45973,51472,55301,56627,56764,55555,52706,49184,45413,40892,36533,31852,27952,23799,20171,17396,14533,12226,10077,8250,6957,5855,4834,4069,3532,2959,2581,2156,1894,1721,1551,1319,1217,1110,1053,968,827,768,740,687,650,634,580,512,500,431,437,371,357,357,325,326,272,293,271,281,256,256,227,224,215,224,223,203,209,208,164,165,136,136,139,134,130,147,155,122,118,134,109,109,135,104,117,102,95,114,96,84,87,112,87,89,87,71,72,73,7720
25,C2_S26,22808,33263,48820,58921,66510,69769,69498,66541,62436,56816,50044,43256,36724,31165,25429,20979,17102,14047,11351,8910,7457,6192,5024,4243,3575,3150,2695,2396,2073,1882,1679,1548,1452,1315,1213,1129,1012,1005,914,857,791,750,747,675,663,602,594,507,509,498,452,441,440,392,382,383,340,335,295,288,285,257,291,224,222,205,201,229,199,181,166,177,166,187,146,156,165,137,119,125,115,127,123,90,107,106,106,108,97,89,93,90,90,87,86,75,74,65,79,93,3650
26,C3_S27,2228,992,1874,2133,3015,4188,5561,7019,8579,10272,11919,13601,15442,16779,18302,19458,20988,21957,22698,23001,23585,23925,24171,24012,23639,23411,23242,22581,22140,21753,20981,19966,19472,19037,17993,17510,16214,15513,14808,13701,13250,12217,11696,11064,10330,9745,9183,8425,7931,7476,6935,6673,6201,5679,5400,5102,4738,4314,4088,3835,3601,3318,3195,3027,2773,2674,2431,2334,2216,1930,1922,1912,1752,1599,1474,1486,1352,1252,1211,1201,1145,1088,1013,959,908,899,831,829,766,708,688,706,640,625,565,604,557,522,509,516,34992
27,C4_S28,196384,149860,167539,114713,87417,55343,36027,22336,14083,8617,5734,3900,2830,2107,1519,1323,1076,904,708,615,578,552,452,395,388,366,315,300,271,232,233,201,194,207,186,171,170,132,119,115,93,112,112,76,82,81,75,70,67,73,48,64,46,37,47,49,45,44,44,32,47,41,43,39,40,33,35,39,39,20,34,22,29,19,21,22,20,29,24,14,23,21,12,23,13,18,19,10,20,25,14,16,12,19,15,14,17,15,11,18,3818
28,C5_S29,50065,65981,91689,98573,99360,91997,80537,67210,53654,41287,31565,23565,17450,12641,9421,7220,5196,3933,3236,2494,2154,1816,1521,1349,1131,1030,907,831,749,659,614,572,464,488,436,411,368,338,314,313,329,271,240,246,227,209,234,221,197,198,201,159,143,165,152,142,162,127,131,104,136,128,105,129,98,106,95,102,76,88,73,87,84,86,82,75,65,73,61,72,62,62,52,63,57,64,55,53,46,30,44,42,42,43,44,33,41,30,26,34,4531
29,61G_MF_10,76166,113813,147907,148069,125997,93779,64139,40569,24257,14462,8582,5361,3361,2489,1753,1377,1112,952,748,607,521,430,389,340,306,314,254,204,199,197,166,156,139,140,122,107,105,80,82,81,76,75,63,58,51,58,67,42,58,50,49,53,44,44,38,39,50,35,31,35,31,35,16,33,25,26,26,24,28,31,19,16,28,19,26,24,20,29,25,27,26,26,22,28,28,25,21,16,19,17,19,26,16,22,22,18,24,23,11,21,2886
30,61G_MF_13,100365,149449,167305,146192,111847,75590,47035,28287,16621,9752,6040,4102,2925,2098,1629,1327,1084,967,844,715,605,550,460,394,353,315,300,285,226,224,221,174,164,152,144,136,134,121,122,126,115,105,130,85,83,68,73,65,67,57,54,54,59,40,54,37,29,30,45,39,24,28,28,31,26,29,22,30,21,30,20,25,20,15,24,22,31,26,21,18,21,20,26,26,20,13,24,22,15,15,12,23,20,17,19,9,18,14,22,20,3136
31,61G_MF_19,781803,20926,55361,3706,7350,1251,1855,599,738,406,426,294,253,233,232,159,191,136,128,106,100,86,104,88,97,73,67,66,69,65,55,48,66,51,46,59,57,57,52,44,51,51,43,48,46,51,51,47,42,46,55,45,46,45,47,32,44,38,37,30,46,29,31,37,44,49,34,34,31,44,39,28,42,30,44,49,36,37,36,28,35,32,41,23,37,35,28,26,28,29,22,21,23,25,17,22,18,25,19,26,4994
